92	AI_QUERY	SUCCESS	admin	admin	AI_QUERY	q-32c266a4	AI 问数	2026-09-11 09:53:56
91	DECISION_REJECT	FAILED	admin	admin	DECISION_TASK	8	缺少必填字段: 驳回原因（§20.3 驳回必须记录原因）	2026-09-11 09:53:32
90	DECISION_CREATE	SUCCESS	admin	admin	DECISION_TASK	8	source=ai（AI 只能 DRAFT，§20.3）	2026-09-11 09:53:32
89	DECISION_EVALUATE	SUCCESS	admin	admin	DECISION_TASK	7	INSUFFICIENT_DATA：完成后尚未发布新快照（当前 ACTIVE=S20260901_22 即基线快照）：完成不代表有效，请等数据覆盖窗口后再评价（§20.3）	2026-09-11 09:53:32
88	DECISION_COMPLETE	SUCCESS	admin	admin	DECISION_TASK	7	执行完成（完成不代表有效，需等评价窗口）	2026-09-11 09:53:32
87	DECISION_START	SUCCESS	admin	admin	DECISION_TASK	7	开始执行	2026-09-11 09:53:32
86	DECISION_APPROVE	SUCCESS	admin	admin	DECISION_TASK	7	批准，基线快照=S20260901_22，基线业务日=2026-09-01，窗口=7 天	2026-09-11 09:53:32
85	DECISION_SUBMIT	SUCCESS	admin	admin	DECISION_TASK	7	提交审批，证据锚点=evidence_package:EV-20260911-c511b4	2026-09-11 09:53:32
84	DECISION_START	FAILED	admin	admin	DECISION_TASK	7	非法决策状态流转: DRAFT -> IN_PROGRESS	2026-09-11 09:53:32
83	DECISION_CREATE	SUCCESS	admin	admin	DECISION_TASK	7	source=ai（AI 只能 DRAFT，§20.3）	2026-09-11 09:53:32
82	AI_QUERY	FAILED	admin	admin	AI_QUERY	q-7a448fc6	AI 问数被治理规则拒绝/失败：SQL_QUESTION_UNSAFE	2026-09-11 09:53:31
81	AI_QUERY	FAILED	admin	admin	AI_QUERY	q-8a64c6ac	AI 问数被治理规则拒绝/失败：SQL_QUESTION_UNSAFE	2026-09-11 09:53:31
80	AI_QUERY	FAILED	admin	admin	AI_QUERY	q-291e1855	AI 问数被治理规则拒绝/失败：SQL_QUESTION_UNSAFE	2026-09-11 09:53:31
79	AI_QUERY	FAILED	admin	admin	AI_QUERY	q-2da807d3	AI 问数被治理规则拒绝/失败：SQL_QUESTION_UNSAFE	2026-09-11 09:53:31
78	AI_QUERY	SUCCESS	admin	admin	AI_QUERY	q-b3a5a6ba	AI 问数	2026-09-11 09:53:31
